word,var0_embeddings,var1_embeddings,var2_embeddings,var3_embeddings
<pad>,0,23,6,13
<unk>,15,28,31,22
<s>,4,4,6,0
</s>,2,17,20,18
@,7,31,19,5
.,0,25,27,30
",",4,8,18,30
the,2,8,23,30
(,4,25,24,30
),8,5,1,30
of,5,12,23,30
in,0,23,23,1
to,1,23,18,5
and,2,27,7,30
a,1,27,18,13
@-@,1,1,28,15
@.@,2,5,24,26
"""",12,5,2,5
on,2,4,19,5
-,4,5,28,5
said,7,5,24,15
@-@-@,3,5,24,4
's,1,27,23,30
for,1,25,7,30
The,2,16,18,14
@.,4,25,19,31
was,1,25,24,21
:,10,1,19,5
at,0,5,24,5
is,1,27,23,21
with,12,5,28,5
"@,@",5,31,24,27
from,0,5,7,5
that,12,5,18,14
not,12,5,18,21
by,2,5,2,1
he,14,25,19,1
were,1,25,2,26
has,1,5,2,21
it,18,5,7,26
had,12,25,19,13
beat,4,5,18,31
have,27,25,27,27
be,27,27,19,23
U.S.,15,11,16,17
an,27,27,19,26
as,10,5,19,21
--,4,5,28,5
.@,22,1,24,1
after,1,25,2,1
his,1,1,6,1
$,27,21,2,13
first,0,25,2,13
will,1,25,2,2
@th,12,25,19,8
but,1,25,18,13
been,27,25,19,27
are,1,25,18,13
/,1,27,7,4
I,10,27,28,21
their,1,27,19,26
up,3,23,2,13
who,12,5,24,30
two,27,16,24,5
out,1,5,24,30
@:@.@,8,5,18,5
million,3,27,2,13
they,23,25,19,23
percent,3,25,24,13
this,2,25,7,21
He,27,25,19,30
year,7,5,2,5
It,2,21,19,30
would,0,5,24,13
Thursday,27,0,2,15
Wednesday,0,28,7,4
@/@,0,5,28,1
its,7,5,6,26
one,10,27,19,13
last,4,25,2,13
against,5,3,19,15
which,2,5,24,21
second,12,25,27,26
also,16,5,19,13
Tuesday,2,5,23,30
government,10,5,19,27
over,1,25,18,2
police,10,1,18,2
SOCCER,27,27,6,30
AT,0,5,24,5
Germany,8,14,12,9
won,5,25,2,1
Australia,15,7,3,9
three,12,5,2,13
Monday,5,5,2,27
Friday,8,5,2,15
A,27,1,19,30
points,22,25,28,1
played,23,25,2,13
Sunday,11,5,24,27
France,8,14,3,7
But,4,25,19,27
+@,8,21,19,1
when,2,27,2,14
or,23,27,7,21
no,1,5,2,27
new,1,25,2,26
Britain,10,14,30,9
under,27,5,2,30
NEW,26,24,18,17
New,25,19,11,22
people,23,5,7,13
We,13,25,27,13
we,9,5,19,27
In,0,22,2,3
Spain,8,10,3,9
about,7,27,18,13
market,13,27,24,13
RESULTS,13,23,2,13
South,25,11,31,17
YORK,1,19,22,22
England,18,14,12,19
',10,31,19,15
could,1,25,2,27
told,8,5,28,5
DIVISION,13,1,19,15
some,10,27,19,13
LONDON,10,30,21,9
time,13,5,18,13
round,13,0,1,23
Saturday,11,25,2,13
Italy,8,14,12,19
more,22,25,19,27
games,12,5,2,13
lost,7,25,2,5
between,3,5,2,13
v,7,5,24,5
Results,13,27,2,2
match,27,21,24,26
other,12,25,2,13
all,1,5,27,13
her,16,25,24,13
than,27,25,24,3
before,10,5,18,21
matches,23,27,2,2
through,1,21,18,30
into,5,8,2,5
division,5,27,23,1
"@,@.@",3,5,18,13
seconds,12,1,27,30
officials,13,5,2,15
official,22,5,2,5
Japan,7,30,30,9
down,10,5,18,1
Sweden,8,14,12,9
shares,0,5,2,13
Minister,4,16,19,31
b,12,25,19,4
week,21,5,2,1
since,27,5,27,5
there,23,25,18,5
day,2,21,27,15
she,1,25,19,21
Pakistan,18,11,21,12
China,16,30,30,9
group,2,25,27,5
home,10,5,2,1
years,2,25,24,21
did,8,5,18,15
Russia,8,14,12,9
n't,12,5,19,1
Newsroom,9,0,4,0
five,3,25,2,23
@-@-@-@,12,25,18,3
win,7,5,24,3
only,22,5,19,27
him,13,16,24,13
made,1,25,24,13
company,5,5,6,13
September,7,5,6,26
four,2,27,19,13
President,4,25,1,15
United,25,18,29,19
soccer,23,25,18,13
world,12,25,2,13
LEAGUE,13,28,27,17
do,13,0,7,30
spokesman,4,25,18,31
just,12,5,18,15
next,4,5,2,21
six,2,21,2,13
vs.,8,25,18,30
London,15,7,22,17
June,23,25,18,15
added,8,27,24,3
expected,20,5,2,15
billion,7,25,19,27
Belgium,21,14,21,9
They,2,25,7,2
off,12,25,2,13
British,25,11,9,28
newsroom,3,1,24,13
Netherlands,26,19,21,10
state,13,5,2,13
July,22,21,6,1
reported,22,25,24,5
CHICAGO,15,9,22,14
metres,23,25,7,2
says,5,27,27,21
Cup,26,9,5,12
At,3,25,19,2
third,1,25,2,14
singles,23,25,2,13
August,5,27,2,13
European,14,19,14,28
German,14,14,8,0
team,14,5,18,5
pct,27,0,2,1
them,13,27,18,13
OF,13,22,6,15
FIRST,27,5,18,2
Men,23,25,19,2
meeting,3,27,18,27
number,23,27,2,2
results,13,5,2,15
Women,23,25,19,30
Clinton,23,29,1,28
killed,13,27,2,26
Africa,21,19,12,17
goals,12,21,2,5
back,23,5,19,27
India,18,10,3,19
former,3,5,2,13
Russian,25,11,14,28
being,13,27,7,13
Attendance,23,27,2,13
Czech,31,26,30,17
can,23,16,24,13
Reuters,19,20,8,19
minute,8,21,7,30
statement,30,5,24,1
president,4,21,18,15
earlier,2,5,24,21
elections,23,21,6,13
Israel,18,30,22,9
peace,27,5,2,2
very,10,25,1,21
foreign,11,5,2,21
Republic,3,19,12,16
CRICKET,12,31,23,3
SAN,26,24,22,17
St,26,7,26,19
profit,13,21,24,13
cents,23,1,24,1
West,25,11,13,16
minutes,1,27,23,13
drawn,3,25,18,13
if,13,5,2,27
due,4,23,18,2
still,23,5,27,21
because,10,5,19,30
Bank,6,29,26,9
final,3,5,2,1
IN,2,27,2,13
tonnes,10,5,2,1
talks,12,5,19,9
while,7,27,24,21
season,30,25,15,26
league,11,25,2,5
well,10,21,24,30
any,10,25,2,13
early,13,5,2,2
take,23,25,2,15
There,26,25,7,21
French,2,14,28,20
Ahmed,24,24,20,14
@-year-old,13,5,7,31
news,6,5,24,5
"@,@,@",14,21,2,1
half,13,25,2,15
lower,2,5,27,23
set,23,21,18,2
per,20,5,2,13
our,23,25,2,2
where,0,21,27,13
end,0,5,2,1
Inc,9,2,4,4
now,1,25,2,21
tournament,13,5,24,13
same,10,27,24,13
M.,21,2,1,20
Open,13,15,19,0
vs,23,25,2,1
you,23,0,2,21
make,12,21,2,30
political,23,5,19,21
visit,3,4,18,1
held,5,25,2,30
most,12,25,27,21
trade,5,25,2,13
World,25,13,23,17
Mark,20,2,1,24
my,23,27,2,13
innings,7,25,24,1
League,13,1,5,12
should,2,25,2,30
gave,12,27,27,26
lead,30,5,6,13
during,7,16,7,27
part,27,5,24,13
Finland,12,26,30,9
Dutch,14,11,8,20
Paul,11,29,4,20
race,23,25,2,21
York,30,29,3,17
play,4,25,27,13
so,23,25,7,21
man,23,8,18,13
international,27,5,2,3
days,13,25,2,13
bank,22,5,6,1
month,11,21,7,26
saying,4,16,19,15
took,12,5,24,14
meet,12,5,7,15
behind,12,5,18,13
Michael,24,2,1,25
Martin,31,15,4,28
c,4,5,18,4
National,26,12,13,7
STANDINGS,2,25,2,2
ended,11,25,27,13
index,13,27,2,1
...,23,27,2,21
party,30,21,7,2
prices,0,21,27,21
Austria,15,16,30,9
David,11,2,1,24
Sydney,26,19,29,19
Standings,12,4,19,30
demand,23,27,18,5
place,27,5,18,14
close,3,21,2,2
game,1,25,27,27
May,12,31,2,31
both,12,25,28,14
Hong,25,9,22,16
around,23,27,2,5
found,16,5,2,13
PCT,23,1,2,26
called,26,5,24,13
want,0,27,18,13
opposition,0,25,18,5
Iraq,11,14,21,9
weekend,5,5,1,5
price,22,5,27,21
English,13,14,8,0
deal,5,5,2,2
go,18,25,2,27
championship,13,1,19,30
rate,23,5,2,1
Kong,21,27,14,17
---,3,5,2,1
Prime,7,5,24,14
Iraqi,25,11,8,11
start,0,21,23,13
say,27,25,2,21
players,0,27,7,27
Zealand,21,7,4,17
Brazil,10,14,12,9
left,1,5,7,13
dollar,10,5,2,13
seven,7,25,2,31
agreed,7,5,24,21
;,7,5,18,1
Akram,23,12,10,24
Sri,25,9,3,8
issue,19,25,6,13
war,27,0,18,13
East,25,19,10,10
Moscow,16,19,29,12
This,13,5,19,13
stories,2,5,27,13
closed,7,5,19,21
country,23,16,2,27
then,10,5,18,27
American,14,19,9,28
Leading,11,27,2,1
Aug,27,5,28,5
leaders,15,25,2,5
rebels,2,5,2,27
Arafat,11,15,27,20
John,24,15,1,24
champion,11,5,24,13
BASEBALL,9,5,7,5
eight,9,1,24,13
plan,22,5,24,21
capital,3,5,1,3
put,7,25,2,5
going,24,25,18,13
good,1,25,2,21
months,12,25,7,11
available,5,5,19,21
CITY,5,3,22,22
victory,24,25,24,5
+@.@,23,16,24,21
parliament,23,27,18,2
fell,22,5,27,1
Israeli,11,14,8,0
ministry,18,0,7,2
began,13,16,18,2
net,7,5,2,27
night,7,5,6,13
Paris,16,9,22,9
sales,1,27,6,13
